symbol	file	line	text
display_calibration_request	working/b4a/ps2vnc_ui_tail.inc	946	display_calibration_request =
display_confirm_action	working/b4a/ps2vnc_display_core.inc	449	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_core.inc	924	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_core.inc	1089	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	425	display_confirm_action == DISPLAY_CONFIRM_ACTION_KEEP) {
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	442	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	465	display_confirm_action == DISPLAY_CONFIRM_ACTION_ROLLBACK) {
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	766	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	824	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	885	display_confirm_action ==
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	890	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	1174	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_display_tail.inc	1312	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_runtime_core.inc	959	volatile int display_confirm_action = DISPLAY_CONFIRM_ACTION_NONE;
display_confirm_action	working/b4a/ps2vnc_runtime_core.inc	1479	display_confirm_action == DISPLAY_CONFIRM_ACTION_ROLLBACK)
display_confirm_action	working/b4a/ps2vnc_runtime_core.inc	1549	display_confirm_action == DISPLAY_CONFIRM_ACTION_ROLLBACK)
display_confirm_action	working/b4a/ps2vnc_runtime_tail.inc	231	display_confirm_action = DISPLAY_CONFIRM_ACTION_NONE;
display_confirm_action	working/b4a/ps2vnc_runtime_tail.inc	246	display_confirm_action = DISPLAY_CONFIRM_ACTION_NONE;
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	500	display_confirm_action == DISPLAY_CONFIRM_ACTION_NONE &&
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	519	display_confirm_action ==
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	522	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	601	display_confirm_action ==
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	620	display_confirm_action ==
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	625	display_confirm_action =
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	633	display_confirm_action ==
display_confirm_action	working/b4a/ps2vnc_ui_tail.inc	638	display_confirm_action =
display_confirm_pending	working/b4a/ps2vnc_runtime_core.inc	955	volatile int display_confirm_pending = 0;
display_confirm_pending	working/b4a/ps2vnc_runtime_tail.inc	236	display_confirm_pending = 1;
display_confirm_pending	working/b4a/ps2vnc_runtime_tail.inc	243	display_confirm_pending = 0;
display_confirm_previous_backend	working/b4a/ps2vnc_runtime_core.inc	977	ps2vnc_backend_t display_confirm_previous_backend =
display_confirm_previous_backend	working/b4a/ps2vnc_runtime_tail.inc	210	display_confirm_previous_backend = active_display_backend;
display_confirm_previous_backend	working/b4a/ps2vnc_runtime_tail.inc	248	display_confirm_previous_backend = PS2VNC_BACKEND_NONE;
display_confirm_previous_desktop_h	working/b4a/ps2vnc_runtime_core.inc	976	unsigned int display_confirm_previous_desktop_h = 0;
display_confirm_previous_desktop_h	working/b4a/ps2vnc_runtime_tail.inc	216	display_confirm_previous_desktop_h = desktop_height;
display_confirm_previous_desktop_h	working/b4a/ps2vnc_runtime_tail.inc	254	display_confirm_previous_desktop_h = 0;
display_confirm_previous_desktop_w	working/b4a/ps2vnc_runtime_core.inc	975	unsigned int display_confirm_previous_desktop_w = 0;
display_confirm_previous_desktop_w	working/b4a/ps2vnc_runtime_tail.inc	215	display_confirm_previous_desktop_w = desktop_width;
display_confirm_previous_desktop_w	working/b4a/ps2vnc_runtime_tail.inc	253	display_confirm_previous_desktop_w = 0;
display_confirm_previous_h	working/b4a/ps2vnc_runtime_core.inc	974	unsigned int display_confirm_previous_h = 0;
display_confirm_previous_h	working/b4a/ps2vnc_runtime_tail.inc	214	display_confirm_previous_h = previous_h;
display_confirm_previous_h	working/b4a/ps2vnc_runtime_tail.inc	252	display_confirm_previous_h = 0;
