RECEIVER_START	receive_epoch_ms=1788142714770	receive_monotonic_ns=40818349942098	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788142804308	receive_monotonic_ns=40907887678517	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=565 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142804605	receive_monotonic_ns=40908184880465	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=583 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142804902	receive_monotonic_ns=40908482489170	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=601 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142805195	receive_monotonic_ns=40908775445661	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=618 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142805493	receive_monotonic_ns=40909072876515	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=636 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142805786	receive_monotonic_ns=40909365891376	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=653 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142806083	receive_monotonic_ns=40909663183212	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=671 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142806375	receive_monotonic_ns=40909955542966	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=689 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142806673	receive_monotonic_ns=40910253247948	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=706 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142806971	receive_monotonic_ns=40910550724950	src=192.168.50.2:62511	payload=DBG frame=2 stage=WAIT_RFB(14) bytes=0 msg=0 rect=1/1 xywh=656,436,26,9 enc=00000005 ctl=724 cerr=0 osk=0 hdr=029001b4001a000900000005 hs=4/292 hav=288 he=16/292 rn=292 rc=6142 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
