caller	caller_module	callee	callee_module	cross_module
display_restore_ack_render_bitmap	ui	osk_draw_text_centered	ui	0
display_restore_ack_render_bitmap	ui	osk_fill_rect	ui	0
dpad_hold_velocity_q8	input	analog_speed_curve_q12	other	1
dpad_hold_velocity_q8	input	dpad_hold_velocity_q8	input	0
draw_recovery_status	other	draw_recovery_status	other	0
draw_recovery_status	other	osk_color	ui	1
draw_recovery_status	other	osk_draw_text_centered	ui	1
draw_recovery_status	other	osk_fill_rect	ui	1
draw_recovery_status	other	ps2vnc_display_finish_draw	display_backend	1
draw_recovery_status	other	ps2vnc_display_flip	other	0
draw_recovery_status	other	ps2vnc_display_output_x	other	0
draw_recovery_status	other	ps2vnc_display_output_y	other	0
draw_recovery_status	other	ps2vnc_display_wait_texture_idle	other	0
draw_screen_fit_calibration	display_calibration	draw_screen_fit_calibration	display_calibration	0
draw_screen_fit_calibration	display_calibration	ps2vnc_display_finish_draw	display_backend	1
draw_screen_fit_calibration	display_calibration	ps2vnc_display_flip	other	1
draw_screen_fit_calibration	display_calibration	screen_fit_draw_corner_marker	display_calibration	0
draw_screen_fit_calibration	display_calibration	screen_fit_draw_text_centered	display_calibration	0
draw_screen_fit_calibration	display_calibration	screen_fit_prim_sprite	display_calibration	0
draw_screen_fit_calibration	display_calibration	screen_fit_prim_sprite_clipped	display_calibration	0
ethGetNetIFLinkStatus	other	ethGetNetIFLinkStatus	other	0
ethWaitValidNetIFLinkState	other	WaitValidNetState	other	0
ethWaitValidNetIFLinkState	other	ethWaitValidNetIFLinkState	other	0
flush_rfb_outgoing	rfb_transport	flush_rfb_outgoing	rfb_transport	0
flush_rfb_outgoing	rfb_transport	send_exact	other	1
hextile_fill_rect	rfb_decode	hextile_fill_rect	rfb_decode	0
hextile_fill_rect	rfb_decode	hextile_store_pixel	rfb_decode	0
hextile_fill_rect	rfb_decode	ps2vnc_display_direct_write_row	display_backend	1
hextile_recv_pixel	rfb_decode	hextile_recv_pixel	rfb_decode	0
hextile_recv_pixel	rfb_decode	recv_exact	rfb_transport	1
hextile_recv_raw_tile	rfb_decode	hextile_recv_raw_tile	rfb_decode	0
hextile_recv_raw_tile	rfb_decode	hextile_store_pixel	rfb_decode	0
hextile_recv_raw_tile	rfb_decode	ps2vnc_display_direct_write_active	display_backend	1
hextile_recv_raw_tile	rfb_decode	ps2vnc_display_direct_write_row	display_backend	1
hextile_recv_raw_tile	rfb_decode	recv_exact	rfb_transport	1
hextile_recv_rect	rfb_decode	hextile_fill_rect	rfb_decode	0
hextile_recv_rect	rfb_decode	hextile_recv_pixel	rfb_decode	0
hextile_recv_rect	rfb_decode	hextile_recv_raw_tile	rfb_decode	0
hextile_recv_rect	rfb_decode	hextile_recv_rect	rfb_decode	0
hextile_recv_rect	rfb_decode	hextile_recv_subrects	rfb_decode	0
hextile_recv_rect	rfb_decode	recv_exact	rfb_transport	1
hextile_recv_subrects	rfb_decode	hextile_fill_rect	rfb_decode	0
hextile_recv_subrects	rfb_decode	hextile_recv_pixel	rfb_decode	0
hextile_recv_subrects	rfb_decode	hextile_recv_subrects	rfb_decode	0
hextile_recv_subrects	rfb_decode	recv_exact	rfb_transport	1
hextile_store_pixel	rfb_decode	hextile_store_pixel	rfb_decode	0
hextile_store_pixel	rfb_decode	rfb_gs555_to_gs16	rfb_transport	1
hires_bg_is_field_separated	display_backend	hires_bg_is_field_separated	display_backend	0
hires_bg_storage_row	display_backend	hires_bg_is_field_separated	display_backend	0
hires_bg_storage_row	display_backend	hires_bg_storage_row	display_backend	0
