file	line	function	classification	mutable_state_refs	calibration_refs	platform_refs	rfb_refs	ui_refs
working/b4a/ps2vnc_framebuffer_core.inc	970	probe_extended_desktop_size	STATEFUL_GEOMETRY	desktop_width,desktop_height	NO	YES	YES	NO
working/b4a/ps2vnc_framebuffer_core.inc	1113	ps2vnc_display_direct_write_row	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y	NO	NO	NO	NO
working/b4a/ps2vnc_framebuffer_core.inc	1158	sync_copy_hires_region	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y	NO	NO	NO	NO
working/b4a/ps2vnc_framebuffer_core.inc	1194	sync_copy_hires_dirty_rows	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y	NO	NO	YES	NO
working/b4a/ps2vnc_framebuffer_tail.inc	91	ps2vnc_update_mapped_hires_dirty_buffer	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height	YES	YES	YES	NO
working/b4a/ps2vnc_framebuffer_tail.inc	633	ps2vnc_display_commit_update_standard	STATEFUL_GEOMETRY	desktop_width,desktop_height	NO	YES	YES	NO
working/b4a/ps2vnc_framebuffer_tail.inc	705	publish_hires_background	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height	YES	YES	YES	NO
working/b4a/ps2vnc_framebuffer_tail.inc	1010	ps2vnc_display_publish_full_desktop_standard	STATEFUL_GEOMETRY	desktop_width,desktop_height	NO	YES	NO	NO
working/b4a/ps2vnc_framebuffer_tail.inc	1052	update_hires_background_region	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y	NO	YES	YES	NO
working/b4a/ps2vnc_management_core.inc	217	recover_rfb_connection	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_geometry_locked	YES	YES	YES	YES
working/b4a/ps2vnc_management_core.inc	439	recover_rfb_transport_for_display_rollback	STATEFUL_GEOMETRY	active_video_mode,active_display_backend,desktop_geometry_locked	NO	YES	YES	NO
working/b4a/ps2vnc_management_core.inc	728	screen_fit_geometry_valid	STATEFUL_GEOMETRY	active_video_mode	NO	NO	NO	NO
working/b4a/ps2vnc_management_tail.inc	63	ps2vnc_display_profile_capture_active	STATEFUL_GEOMETRY	active_video_mode,active_display_backend,desktop_width,desktop_height,desktop_output_x,desktop_output_y,desktop_output_width,desktop_output_height	NO	NO	NO	NO
working/b4a/ps2vnc_runtime_core.inc	68	ps2vnc_hires_requires_horizontal_mapping	STATEFUL_GEOMETRY	active_video_mode	NO	NO	NO	NO
