RECEIVER_START	receive_epoch_ms=1788139811418	receive_monotonic_ns=37914997711728	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788139912250	receive_monotonic_ns=38015830481291	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=548 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139912543	receive_monotonic_ns=38016123434472	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=566 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139912841	receive_monotonic_ns=38016421105024	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=583 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139913139	receive_monotonic_ns=38016719393296	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=601 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139913432	receive_monotonic_ns=38017012422308	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=619 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139913731	receive_monotonic_ns=38017310891839	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=637 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139914024	receive_monotonic_ns=38017603721611	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=654 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139914321	receive_monotonic_ns=38017901223681	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=672 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139914614	receive_monotonic_ns=38018194203712	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=689 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139914912	receive_monotonic_ns=38018491806485	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=707 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139915210	receive_monotonic_ns=38018789781590	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=725 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139915502	receive_monotonic_ns=38019082611398	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=742 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139915800	receive_monotonic_ns=38019380599354	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=760 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139916093	receive_monotonic_ns=38019673561217	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=778 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139916391	receive_monotonic_ns=38019971083619	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=795 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139916689	receive_monotonic_ns=38020269140538	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=813 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139916982	receive_monotonic_ns=38020562412899	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=831 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139917281	receive_monotonic_ns=38020860741871	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=848 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139917574	receive_monotonic_ns=38021153667641	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=866 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139917871	receive_monotonic_ns=38021451643596	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=884 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
