file	start_line	end_line	function	geometry_score	signals	local_calls
working/b4a/ps2vnc_framebuffer_core.inc	108	133	hextile_fill_rect	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_store_pixel,ps2vnc_display_direct_write_row
working/b4a/ps2vnc_framebuffer_core.inc	136	144	hextile_recv_pixel	0		recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	146	188	hextile_recv_raw_tile	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_store_pixel,ps2vnc_display_direct_write_active,ps2vnc_display_direct_write_row,recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	191	234	hextile_recv_subrects	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_fill_rect,hextile_recv_pixel,recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	237	334	hextile_recv_rect	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hextile_fill_rect,hextile_recv_pixel,hextile_recv_raw_tile,hextile_recv_subrects,recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	350	367	discard_exact	0		recv_exact
working/b4a/ps2vnc_framebuffer_core.inc	392	954	receive_framebuffer_update	0	FRAMEBUFFER_RFB,GS_TRANSPORT	discard_exact,hextile_recv_rect,ps2vnc_display_direct_write_active,ps2vnc_display_direct_write_cancel,read_be16,read_be32,recv_exact,region_fits_u32,rfb_dirty_mark_rect,rfb_dirty_reset,rfb_gs555_to_gs16,screenf
working/b4a/ps2vnc_framebuffer_core.inc	970	1040	probe_extended_desktop_size	0	FRAMEBUFFER_RFB,GS_TRANSPORT	receive_framebuffer_update,request_framebuffer,screenf,set_raw_extended_desktop_encoding
working/b4a/ps2vnc_framebuffer_core.inc	1056	1060	hires_bg_is_field_separated	0	DISPLAY_MODE,GS_TRANSPORT	
working/b4a/ps2vnc_framebuffer_core.inc	1062	1069	hires_bg_storage_row	0		hires_bg_is_field_separated
working/b4a/ps2vnc_framebuffer_core.inc	1081	1088	ps2vnc_hires_mapped_storage_row	0		hires_bg_storage_row,ps2vnc_hires_requires_vertical_mapping
working/b4a/ps2vnc_framebuffer_core.inc	1098	1111	ps2vnc_display_direct_write_active	0	DISPLAY_MODE	ps2vnc_hires_requires_raster_mapping
working/b4a/ps2vnc_framebuffer_core.inc	1113	1126	ps2vnc_display_direct_write_row	0	FRAMEBUFFER_RFB	hires_bg_storage_row,ps2vnc_display_direct_write_active
working/b4a/ps2vnc_framebuffer_core.inc	1128	1131	ps2vnc_display_direct_write_cancel	0		
working/b4a/ps2vnc_framebuffer_core.inc	1133	1142	ps2vnc_display_begin_update	0	DISPLAY_MODE	ps2vnc_display_direct_write_cancel,ps2vnc_hires_requires_raster_mapping
working/b4a/ps2vnc_framebuffer_core.inc	1144	1150	ps2vnc_display_finish_update_decode	0		ps2vnc_display_direct_write_cancel
